"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.25636803152124e-45,2.06812417421838,0.337,0.095,1.43852670148768e-40,"Endothelial","ETS2"
1.21875415196747e-44,2.12178284442745,0.32,0.085,2.80228142161881e-40,"Endothelial","ELK3"
1.80647531061854e-44,1.43955952889384,0.698,0.398,4.1536286817052e-40,"Endothelial","ATP8B1"
7.44230062627679e-44,1.67897157847255,0.398,0.135,1.71120818299982e-39,"Endothelial","TSPAN14"
3.18696926311746e-43,1.26253993547838,0.718,0.403,7.32779842668598e-39,"Endothelial","ARL15"
5.52870641240412e-43,1.49506860071274,0.395,0.131,1.27121546540408e-38,"Endothelial","INPP5D"
8.30024072468183e-43,2.17947622452262,0.256,0.065,1.90847434982609e-38,"Endothelial","KLHL3"
1.38651175729888e-42,2.30227197053186,0.355,0.107,3.18800648355732e-38,"Endothelial","TMEM2"
1.66003113334836e-42,2.43473652436824,0.279,0.066,3.81690958490788e-38,"Endothelial","ARRDC3"
1.78218912102099e-42,2.10838070750103,0.366,0.115,4.09778744596355e-38,"Endothelial","TNFRSF10B"
9.48485368066273e-42,2.43832187941198,0.34,0.1,2.18085240679478e-37,"Endothelial","IVNS1ABP"
1.02561142572407e-41,2.23393477939757,0.285,0.075,2.35818835116736e-37,"Endothelial","SLC2A3"
1.71691984185452e-41,1.20737517731622,0.706,0.412,3.9477137923761e-37,"Endothelial","HSPG2"
7.01416014638283e-40,2.1709891099827,0.294,0.079,1.6127658424578e-35,"Endothelial","FBXO31"
1.02018128435889e-39,1.92937543703744,0.331,0.096,2.3457028271264e-35,"Endothelial","PLSCR1"
1.77110151348484e-39,2.50095418679244,0.273,0.068,4.0722937099557e-35,"Endothelial","NRG1"
2.74472918032513e-38,1.66668877725154,0.413,0.148,6.31095580432156e-34,"Endothelial","PXN"
2.76788331598472e-38,1.15350200042969,0.683,0.376,6.36419410844368e-34,"Endothelial","UVRAG"
5.07174398459327e-38,1.60273578956504,0.422,0.157,1.16614609437753e-33,"Endothelial","NAMPT"
5.72617213116673e-37,1.476598646964,0.456,0.185,1.31661875811917e-32,"Endothelial","RFX3"
2.74815262832758e-36,1.93866020572574,0.256,0.074,6.31882733831361e-32,"Endothelial","RP11-323I15.5"
7.15850148108347e-36,1.25945129510464,0.622,0.326,1.64595424554552e-31,"Endothelial","PIK3C2A"
9.79532603988537e-36,1.42201757123143,0.413,0.151,2.25223931635084e-31,"Endothelial","SFMBT2"
1.48314310811611e-35,1.91016495439378,0.262,0.07,3.41019094849138e-31,"Endothelial","ZNRF1"
1.94739472110945e-35,2.22247163495202,0.288,0.078,4.47764468224695e-31,"Endothelial","ERO1A"
1.95785757789897e-35,1.68702940152219,0.41,0.142,4.5017019288631e-31,"Endothelial","RDX"
2.13590779316922e-35,1.59553283324884,0.253,0.077,4.91109278883398e-31,"Endothelial","HLA-E"
5.02990431406768e-35,1.46672203754291,0.392,0.144,1.15652589893358e-30,"Endothelial","MGAT4A"
6.66248259167951e-35,1.39291577214157,0.387,0.135,1.53190462230487e-30,"Endothelial","FYN"
1.85025113601163e-34,1.33561120535848,0.558,0.272,4.25428243703154e-30,"Endothelial","TMTC1"
4.56349079949149e-34,1.65922996259513,0.372,0.139,1.04928343952708e-29,"Endothelial","TIMP3"
1.2549940035411e-33,1.53291033954416,0.506,0.236,2.88560771234206e-29,"Endothelial","NEDD9"
