"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Endothelial","PTCHD4","disease_vs_control",3.75464278142729e-06,2.48204456083672,0.261,0.038,0.0863305014733576,"Seurat_LR_cell_level_exploratory"
"Endothelial","FOXP2","disease_vs_control",3.75508870431807e-06,-3.22432108676075,0.016,0.122,0.0863407545783854,"Seurat_LR_cell_level_exploratory"
"Endothelial","KDM3A","disease_vs_control",3.86537928567049e-06,-1.6425645630793,0.122,0.295,0.0888766659154215,"Seurat_LR_cell_level_exploratory"
"Endothelial","PTPRG","disease_vs_control",3.9401026799465e-06,0.823313913956453,0.835,0.506,0.0905947809200098,"Seurat_LR_cell_level_exploratory"
"Endothelial","EXOC4","disease_vs_control",3.95110304697024e-06,-0.6537012796154,0.58,0.667,0.0908477123589867,"Seurat_LR_cell_level_exploratory"
"Endothelial","PCLO","disease_vs_control",3.96446201788533e-06,-4.62173109460871,0.011,0.122,0.0911548751772373,"Seurat_LR_cell_level_exploratory"
"Endothelial","MYRIP","disease_vs_control",3.97418383579054e-06,-0.918220832041435,0.404,0.615,0.0913784089363319,"Seurat_LR_cell_level_exploratory"
"Endothelial","SLC15A4","disease_vs_control",3.98657960338771e-06,6.59149129355515,0.117,0,0.0916634248206936,"Seurat_LR_cell_level_exploratory"
"Endothelial","TMEM87B","disease_vs_control",4.39808773469108e-06,1.84544823514064,0.362,0.103,0.101125231283752,"Seurat_LR_cell_level_exploratory"
"Endothelial","ADAMTS3","disease_vs_control",4.40115606463756e-06,-3.31622020993925,0.016,0.135,0.101195781394211,"Seurat_LR_cell_level_exploratory"
"Endothelial","GPHN","disease_vs_control",4.58704991475131e-06,-0.83540304835181,0.441,0.609,0.105470038689877,"Seurat_LR_cell_level_exploratory"
"Endothelial","KLHL2","disease_vs_control",4.89627115865142e-06,-1.50329073437498,0.154,0.314,0.112579962750872,"Seurat_LR_cell_level_exploratory"
"Endothelial","CMIP","disease_vs_control",4.9502470143397e-06,-0.519072991511265,0.723,0.788,0.113821029600713,"Seurat_LR_cell_level_exploratory"
"Endothelial","DDX17","disease_vs_control",5.03403440755242e-06,0.792826209011624,0.787,0.5,0.115747553132853,"Seurat_LR_cell_level_exploratory"
"Endothelial","RP11-342D14.1","disease_vs_control",5.05114458442156e-06,-6.73776299281165,0,0.083,0.116140967429605,"Seurat_LR_cell_level_exploratory"
"Endothelial","THBS1","disease_vs_control",5.08417572971887e-06,2.51210986935082,0.181,0.026,0.116900452553426,"Seurat_LR_cell_level_exploratory"
"Endothelial","EPSTI1","disease_vs_control",5.12382549001961e-06,2.83323754083933,0.245,0.032,0.117812119492021,"Seurat_LR_cell_level_exploratory"
"Endothelial","ABCC1","disease_vs_control",5.24179935862371e-06,1.10770466689074,0.457,0.186,0.120524692652835,"Seurat_LR_cell_level_exploratory"
"Endothelial","GFOD1","disease_vs_control",5.26382358791767e-06,-0.910624043008463,0.287,0.378,0.121031095756991,"Seurat_LR_cell_level_exploratory"
"Endothelial","FAM179B","disease_vs_control",5.32710909696831e-06,2.33924892251573,0.271,0.064,0.122486219466592,"Seurat_LR_cell_level_exploratory"
