"gene","donor_id","biosample_id","condition2","celltype","n_cells","mean_log_norm_expr","pct_expr"
"MYH11","C7","Control disease free carotid tissue","control","Unknown1",39,0.0519326748822964,0.0256410256410256
"MYH11","C7","Control disease free carotid tissue","control","Unknown2",19,0.132273388248221,0.0526315789473684
"MYH11","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,1.66174466103052,0.607843137254902
"CNN1","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,0,0
"CNN1","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,0,0
"CNN1","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,0,0
"CNN1","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,0,0
"CNN1","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,0,0
"CNN1","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,0.218125558765912,0.10586319218241
"CNN1","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,0.0412804126972068,0.02
"CNN1","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,0,0
"CNN1","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,0,0
"CNN1","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,0,0
"CNN1","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,0,0
"CNN1","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,0.22669989338468,0.1100611450806
"CNN1","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,0,0
"CNN1","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,0.0134512516512897,0.00641025641025641
"CNN1","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,0,0
"CNN1","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,0.00752342145572765,0.0040650406504065
"CNN1","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,0.205483618667487,0.125
"CNN1","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,0.372521552564955,0.166666666666667
"CNN1","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,0,0
"CNN1","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,0.0656387268238356,0.037037037037037
"CNN1","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,0,0
"CNN1","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,0,0
"CNN1","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,0.174460943309666,0.1
"CNN1","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,0.443826108590907,0.207547169811321
"CNN1","C7","Control disease free carotid tissue","control","Endothelial",156,0,0
"CNN1","C7","Control disease free carotid tissue","control","Lymphocyte",10,0,0
"CNN1","C7","Control disease free carotid tissue","control","Macrophage",4,0,0
"CNN1","C7","Control disease free carotid tissue","control","Pericyte",63,0.314765189011027,0.126984126984127
"CNN1","C7","Control disease free carotid tissue","control","Unknown1",39,0,0
"CNN1","C7","Control disease free carotid tissue","control","Unknown2",19,0,0
"CNN1","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,0.154182529048783,0.065359477124183
