"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Vascular Smooth Muscle","ADRBK2","disease_vs_control",0.43215376459844,-0.640142187903539,0.066,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SPIDR","disease_vs_control",0.432274788026855,-0.13531034598987,0.493,0.412,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RRBP1","disease_vs_control",0.432302424099299,0.00507779799090394,0.144,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ACTN1","disease_vs_control",0.432599619607103,-0.167624170589507,0.639,0.556,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ZMPSTE24","disease_vs_control",0.432763946911499,0.400397995583994,0.086,0.046,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FAM182B","disease_vs_control",0.432781034172849,0.579821555369511,0.113,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","IRAK2","disease_vs_control",0.432783798715021,-0.427477266712339,0.071,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","NELFA","disease_vs_control",0.432894223976392,-0.629165268988502,0.05,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","METTL7A","disease_vs_control",0.433187920701666,-0.433355408025282,0.05,0.046,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MID2","disease_vs_control",0.433413720022006,0.790789558043371,0.067,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MXD4","disease_vs_control",0.434289119529595,0.312494577243325,0.09,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","HNRNPUL1","disease_vs_control",0.434329112451702,-0.314371438060589,0.092,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DOCK6","disease_vs_control",0.434341197623847,-0.307184570470436,0.122,0.118,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","USP49","disease_vs_control",0.434925980363258,-0.628735048191609,0.059,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","AGO3","disease_vs_control",0.434947508120458,-0.047745608768452,0.368,0.307,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SEL1L","disease_vs_control",0.435303262556959,0.565170547740896,0.094,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SEC11A","disease_vs_control",0.435671961517944,-0.445673175953785,0.108,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GDI2","disease_vs_control",0.435777823140025,0.29567968253888,0.178,0.098,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MAP3K1","disease_vs_control",0.435872716271594,-0.412850615304449,0.058,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DAPK3","disease_vs_control",0.435921233750324,0.372353542134267,0.105,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","BMS1","disease_vs_control",0.436151269437226,0.516875140871756,0.081,0.046,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DENND5B","disease_vs_control",0.436793151146033,-0.153684419934038,0.333,0.261,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RNMT","disease_vs_control",0.437258091915688,-0.376704586161299,0.147,0.131,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","KIAA1109","disease_vs_control",0.437483902257099,0.124353387172,0.438,0.307,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","METTL6","disease_vs_control",0.437575306938176,-0.243003184755219,0.062,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","BCL7C","disease_vs_control",0.437712362498396,0.385870055488071,0.121,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","NCOA7","disease_vs_control",0.437857638400681,0.317974974696412,0.161,0.105,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FAM177A1","disease_vs_control",0.438270325004865,-0.221491388811251,0.109,0.092,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MAMLD1","disease_vs_control",0.438318526649361,0.544675626773899,0.074,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SORL1","disease_vs_control",0.438392898744565,-0.302747220573441,0.066,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TRIP6","disease_vs_control",0.438542015946037,0.477512610176201,0.05,0.026,1,"Seurat_LR_cell_level_exploratory"
